SOURCE;QAM_COD;DCR_SEGMENT_CE_LIB;CLASSE_TAILLE;PORT_EXP_COD;PORT_EXP_LIB;METIER_DCF_5_COD;METIER_DCF_5_LIB;NIV_SECTEUR_COD;SECTEUR_COD;TRIMESTRE;ANNEE;RG_COD;NB_NAVIRES;EFFECTIF_NAVIRE_MOY;NAVP_JAUGE_GT_MOY;NAVP_PUISSANCE_AD_MOY;NB_MAREES;NB_MAREES_INF_95;NB_MAREES_SUP_95;JOURS_DE_MER;JOURS_DE_MER_INF_95;JOURS_DE_MER_SUP_95
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD12;2;2018;LR;4;3;6582.75294117647;253.952941176471;39.3333333333333;39.3333333333333;39.3333333333333;39.3333333333333;39.3333333333333;39.3333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD12;3;2018;LR;11;3.54271111111111;7073.08444444444;313.48;91.3666666666666;91.3666666666666;91.3666666666666;97.1166666666666;97.1166666666666;97.1166666666666
SACROIS;ST;Chalut et sennes de fond;VL1824;PST;SÃ¨te-Mole et canaux;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD12;3;2018;LR;2;3;6133.33333333333;316;27.3333333333333;27.3333333333333;27.3333333333333;27.3333333333333;27.3333333333333;27.3333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD12;3;2018;LR;4;3;6469;260.301587301587;57.4166666666667;57.4166666666667;57.4166666666667;57.9166666666667;57.9166666666667;57.9166666666667
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD12;4;2018;LR;11;3.58579439252336;7588.33644859813;314.331775700935;90.3666666666667;90.3666666666667;90.3666666666667;97.9833333333333;97.9833333333333;97.9833333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;PST;SÃ¨te-Mole et canaux;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD12;4;2018;LR;2;3;6443.75;316;18.5;18.5;18.5;18.5;18.5;18.5
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD12;4;2018;LR;5;3;6395.7610619469;276.495575221239;60.4166666666667;60.4166666666667;60.4166666666667;60.9166666666667;60.9166666666667;60.9166666666667
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD21;1;2018;LR;11;3.61007751937984;7766.48062015504;315.02325581395303;66.875;66.875;66.875;70.7083333333334;70.7083333333334;70.7083333333334
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD21;2;2018;LR;11;3.55046218487395;7488.78151260504;314.058823529412;108.233333333333;108.233333333333;108.233333333333;112.383333333333;112.383333333333;112.383333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD21;3;2018;LR;11;3.60474820143885;7300.5035971223;314.262589928058;118.533333333333;118.533333333333;118.533333333333;124.116666666667;124.116666666667;124.116666666667
